date,male 00-04,male 05-09,male 10-14,male 15-19,male 20-24,male 25-29,male 30-34,male 35-39,male 40-44,male 45-49,male 50-54,male 55-59,male 60-64,male 65-69,male 70-74,male 75-79,male 80-UP,female 00 - 04,female 05 - 09,female 10 - 14,female 15 - 19,female 20 - 24,female 25 - 29,female 30 - 34,female 35 - 39,female 40 - 44,female 45 - 49,female 50 - 54,female 55 - 59,female 60 - 64,female 65 - 69,female 70 - 74,female 75 - 79,female 80 - UP
2021,93610818.0,83227228.0,74225310.0,63691873.0,53641060.0,45571275.0,39041806.0,33006341.0,26793901.0,20973827.0,16647849.0,12776230.0,9465953.0,6820500.0,4530906.0,2649502.0,1767399.0,91365265.0,81553304.0,72839913.0,62692405.0,53183014.0,45732509.0,39557089.0,33459186.0,27125432.0,21571700.0,17809252.0,14331731.0,11138680.0,8290597.0,5670739.0,3492721.0,2808182.0
2020,91951162.0,81719240.0,72352095.0,61798371.0,52119264.0,44348841.0,38071164.0,32031618.0,25729211.0,20283197.0,16092125.0,12343409.0,9185981.0,6667053.0,4447959.0,2583976.0,1757949.0,89773851.0,80104383.0,71020431.0,60849094.0,51729074.0,44572424.0,38572346.0,32404721.0,26038733.0,20925209.0,17295999.0,13898383.0,10799836.0,8061676.0,5520572.0,3394143.0,2759860.0
2019,90299665.0,80187607.0,70419983.0,59966005.0,50666311.0,43214628.0,37085643.0,31042215.0,24686974.0,19622690.0,15529131.0,11901550.0,8903719.0,6471623.0,4345508.0,2498433.0,1720044.0,88194489.0,78624808.0,69138152.0,59057660.0,50341519.0,43499918.0,37564604.0,31341644.0,24994582.0,20327485.0,16773690.0,13456661.0,10454970.0,7792582.0,5362967.0,3281354.0,2682332.0
2018,88695198.0,78626241.0,68447750.0,58204744.0,49329996.0,42181051.0,36104135.0,30026233.0,23713902.0,18990000.0,14973753.0,11464650.0,8626867.0,6255219.0,4227426.0,2408135.0,1664805.0,86658379.0,77110105.0,67211156.0,57325493.0,49062748.0,42521802.0,36547706.0,30271473.0,24035515.0,19768241.0,16254733.0,13015513.0,10115556.0,7505221.0,5200231.0,3168639.0,2594365.0
2017,87161166.0,76965222.0,66476562.0,56481749.0,48083095.0,41190254.0,35125620.0,28973087.0,22830918.0,18371595.0,14440346.0,11050634.0,8374451.0,6063131.0,4092931.0,2326171.0,1611607.0,85189884.0,75501582.0,65293817.0,55656954.0,47892808.0,41564114.0,35515590.0,29177445.0,23180975.0,19223629.0,15749548.0,12583497.0,9796901.0,7244373.0,5026129.0,3065025.0,2508403.0
2016,85682367.0,75165799.0,64541224.0,54870659.0,46894031.0,40271746.0,34173978.0,27910124.0,22053768.0,17769245.0,13934247.0,10670950.0,8143060.0,5895984.0,3948376.0,2250239.0,1562684.0,83774496.0,73762095.0,63422771.0,54122348.0,46773467.0,40626276.0,34475179.0,28070130.0,22437223.0,18681849.0,15260009.0,12167602.0,9495948.0,7008143.0,4849892.0,2967551.0,2427646.0
2015,84213744.0,73276487.0,62631564.0,53350035.0,45693909.0,39325956.0,33200670.0,26821575.0,21335599.0,17171348.0,13441431.0,10322689.0,7914795.0,5736693.0,3806463.0,2178225.0,1518832.0,82361029.0,71933823.0,61587957.0,52709362.0,45659593.0,39663669.0,33417568.0,26965146.0,21775167.0,18140398.0,14781625.0,11771823.0,9201158.0,6785122.0,4682298.0,2874566.0,2354765.0
2014,82724981.0,71330643.0,60789554.0,51881854.0,44537741.0,38313510.0,32179586.0,25743112.0,20649517.0,16576514.0,12957661.0,9999245.0,7669739.0,5589858.0,3672397.0,2110180.0,1480016.0,80917522.0,70047881.0,59815940.0,51350029.0,44600572.0,38656866.0,32347944.0,25908500.0,21171091.0,17601720.0,14314470.0,11397441.0,8889653.0,6587766.0,4527114.0,2786770.0,2287567.0
2013,81202184.0,69339012.0,59010152.0,50534554.0,43496294.0,37316914.0,31146748.0,24753558.0,20008551.0,16004677.0,12496445.0,9704368.0,7423017.0,5447664.0,3549995.0,2046131.0,1444473.0,79435631.0,68116690.0,58094772.0,50077290.0,43614546.0,37634852.0,31275570.0,24945763.0,20611948.0,17074264.0,13861886.0,11046491.0,8575074.0,6404458.0,4386340.0,2704705.0,2221477.0
2012,79582940.0,67363768.0,57286334.0,49289223.0,42506245.0,36336591.0,30088982.0,23866845.0,19387703.0,15456033.0,12058524.0,9433910.0,7205318.0,5284407.0,3438393.0,1985614.0,1410066.0,77860512.0,66200237.0,56429752.0,48903075.0,42654283.0,36612727.0,30189369.0,24094404.0,20069275.0,16563443.0,13421112.0,10716915.0,8293283.0,6208520.0,4257986.0,2629555.0,2154984.0
